state,y_2015,y_2014,y_2013,y_2012,y_2011,y_2010,y_2009,y_2008,y_2007,y_2006,y_2005,y_2004,y_2003,y_2002,y_2001,y_2000,y_1999,y_1995,y_1990
Alabama,7.351544429,7.806776004,7.817785135,8.2,8.4,8.2,8.3,8.6,8.9,9.2,9.2,9.4,9.6,9.9,9.4,10.1,10.8,9.8,10.6
Alaska,7.40758797,7.50883632,7.293928165,7.2,7.8,8,7.8,8.4,8.5,8.2,8.2,8.5,8.1,8.3,8.1,8.9,8.6,9,10.2
Arizona,5.922468518,5.780449006,5.401091114,5.6,5.7,5.9,5.6,6,6.4,6.5,6.6,6.7,6.5,6.7,7.6,7.5,8.2,8.8,10
Arkansas,10.04027931,10.11202585,9.751051996,10.9,10.4,10.8,10.7,10.6,12,12.4,12.9,13.4,13.4,14.3,14.3,15.4,14.8,14.4,15.3
California,6.184956589,6.441492172,6.460467341,6,5.8,5.8,5.8,6.7,6.2,6.3,6.4,6.4,6.1,6.2,6.5,5.8,6.4,6.3,7.9
Colorado,6.79180746,7.06160311,6.452663605,6.8,7,6.9,6.9,7.4,7.1,7.2,7.6,7.4,7.8,8,8.2,8.3,8.2,9,9.8
Connecticut,5.292008713,5.368844631,5.021022892,5.2,5.5,5.6,5.9,5.4,5.5,5.5,5.8,5.8,5.5,5.7,5.4,5.7,5.8,6.6,7.9
Delaware,5.712872145,6.0227829,6.571975773,5.8,5.2,5.2,5.4,5.5,5.7,5.9,5.9,6.1,6,6.4,6.5,6.5,6.7,7.3,8.4
District of Columbia,8.220425213,11.82134277,10.79126118,8.4,8.7,7.6,4.7,4.1,4.2,4,4.1,5.2,5.1,5.1,6.2,4.9,6.6,6.1,8.2
Florida,8.234362402,7.301404086,7.009613939,7.2,7.4,7.3,7.5,8,8.5,8.6,8.9,9,9,9.4,9.3,8.9,8.7,9.9,10.9
Georgia,6.200378664,---,---,6.5,6.6,7.3,6.6,6,6.8,7.3,7,7.9,7,6.5,6.1,6.8,7.8,8.4,10.3
Hawaii,15.94017336,17.70265596,16.29424509,17.5,17.6,17.6,17.2,19.1,20.8,21.9,22.6,22.6,22,20.8,19.6,20.6,18.9,15.7,16.4
Idaho,8.151402174,8.366045382,8.178590392,8.2,8.6,8.8,8.9,9.5,10,10.1,10.5,10.8,10.9,11,11.2,10.8,12.1,13.1,13.9
Illinois,5.880873204,6.169054499,5.394059292,5.8,5.6,5.7,5.7,5.9,6.1,6.2,5.9,6.2,6.5,6.6,7.2,6.9,7,6.9,8.8
Indiana,6.856524787,7.080040413,6.607464242,6.7,6.8,6.3,7.9,8,7,7,6.9,7.8,7.1,7.9,7.9,7.9,8.1,8.6,9.6
Iowa,6.255003763,6.863899308,7.390914362,6.8,6.7,6.9,7,6.5,6.6,6.7,6.9,6.9,6.9,7,7.1,6.9,7.9,7.7,9
Kansas,5.936514838,6.101884249,5.984539508,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7,6.9,7.3,7.5,8.3,7.1,8.5,9.2
Kentucky,7.172506244,6.941723914,7.278692329,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9,9,9.8,10.9,12.2,13.5
Louisiana,6.777107789,6.892953401,6.370812047,5.7,6.4,6.9,7.1,6.8,7.5,---,8,8,8.2,8.1,8.4,9.1,9.1,9.3,9.6
Maine,7.610612279,7.745346364,8.310610087,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8,8.6,8.7,9.7
Maryland,6.187232587,6.461574655,6.823793089,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7,7.5,7.5,8.4,9.7
Massachusetts,5.497009164,5.604849996,5.501414649,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,7.1,7.9
Michigan,5.984937782,5.759102762,5.812267283,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,7.3,8.2
Minnesota,5.578554625,5.895726597,5.998287943,5.6,5.6,5.3,5.3,5.4,5.8,6,6,6,6.3,6.5,6.6,6.8,6.8,7,7.7
Mississippi,6.993874011,6.930344857,6.715683669,5.8,4.9,4.9,4.8,5.1,5.4,5.7,5.8,6.1,6.2,6.4,6.5,6.9,7.8,7.9,9.4
Missouri,6.209572114,6.725224945,6.449850608,6.5,6.6,6.5,6.5,6.8,6.9,6.9,7,7.1,7.2,7.3,7.5,7.8,8.1,8.3,9.6
Montana,7.962639007,7.857722755,7.39879724,7.8,7.8,7.4,7.3,7.6,7.5,7.4,7.4,7.5,7.2,7.1,7.1,7.3,7.4,7.6,8.6
Nebraska,6.378052832,6.415084111,6.294835046,6.7,6.6,6.6,6.6,6.9,6.8,6.8,7,7.1,7,7.5,7.9,7.6,7.5,7.3,8
Nevada,31.01792037,31.8509499,32.28014692,35.1,36.9,38.3,40.3,42.3,48.6,52.1,57.4,62.1,63.9,67.4,69.6,72.2,82.3,85.2,99
New Hampshire,6.938181643,7.187146945,6.90161161,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8,8.1,8.3,8.5,9.4,7.9,8.3,9.5
New Jersey,5.606042322,5.403116408,5.130830503,4.9,4.8,5.1,5,5.4,5.4,5.5,5.7,5.9,5.8,6,6.4,6,5.9,6.5,7.6
New Mexico,6.171859601,8.080277257,7.255595992,6.9,8,7.7,5,4,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8,8,8.8,8.8
New York,7.056095915,6.689784332,6.890139176,7,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,8,8.6
North Carolina,6.959910192,6.892221251,6.51001314,6.6,6.7,6.6,6.6,6.9,7,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,8.4,7.8
North Dakota,6.172325733,6.300356195,6.340951599,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,7.1,7.5
Ohio,5.905580121,5.751514792,5.708935798,5.8,5.9,5.8,5.8,6,6.1,6.3,6.5,6.6,6.7,7,7.2,7.8,7.8,8,9
Oklahoma,7.418944617,7.075203498,7.083370557,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,---,---,---,---,6.8,8.6,10.6
Oregon,6.887356269,6.834097393,6.334755278,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,8.1,8.9
Pennsylvania,5.684591521,5.842870012,5.432290671,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6,6.1,6.2,7.1
Rhode Island,6.353320749,6.669996294,6.212964011,6.1,6,5.8,5.9,6.1,6.4,6.6,7,7.7,7.8,7.8,8.1,7.6,7.5,7.3,8.1
South Carolina,7.498346659,7.624032536,7.142020914,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9,9.3,9.9,10.6,10.2,11.9,15.9
South Dakota,7.214005398,7.073578105,7.0057535,7.5,7.5,7.3,7.3,7.7,7.8,8,8.4,8.4,8.4,8.8,8.9,9.4,9.1,9.9,11.1
Tennessee,8.502342091,8.409228882,8.44784265,8.8,9,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,15.5,13.9
Texas,7.2144664,6.851589115,6.976355625,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8,8.1,8.4,9.1,9.4,9.1,9.9,10.5
Utah,8.075986033,7.317946707,7.503605812,8.4,8.6,8.5,8.4,9,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,10.7,11.2
Vermont,8.124055575,8.698261305,9.155322918,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10,10,10.3,10.9
Virginia,6.980323138,6.744421194,6.657784939,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,10.2,11.4
Washington,6.21936081,6.956141233,7.110330398,6.3,6.1,6,6,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7,6.9,7.2,7.7,9.5
West Virginia,6.574923216,6.669095068,6.644002278,7,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,6.1,7.2
Wisconsin,5.611351408,5.691295833,5.219135973,5.4,5.3,5.3,5.3,5.6,5.7,6,6.1,6.2,6.2,6.3,6.5,6.7,6.7,7,7.9
Wyoming,7.34166287,7.658952364,7.549883465,7.6,7.8,7.6,8,8.6,9,9.3,9.3,9.3,9.3,9.5,10,10,9.9,10.6,10.7
