"Country","ISO 3166-1 alpha-3","Year","Total","Coal","Oil","Gas","Cement","Flaring","Other"
"Afghanistan","AFG",1750,,,,,,,
"Afghanistan","AFG",1751,,,,,,,
"Afghanistan","AFG",1752,,,,,,,
"Afghanistan","AFG",1753,,,,,,,
"Afghanistan","AFG",1754,,,,,,,
"Afghanistan","AFG",1755,,,,,,,
"Afghanistan","AFG",1756,,,,,,,
"Afghanistan","AFG",1757,,,,,,,
"Afghanistan","AFG",1758,,,,,,,
"Afghanistan","AFG",1759,,,,,,,
"Afghanistan","AFG",1760,,,,,,,
"Afghanistan","AFG",1761,,,,,,,
"Afghanistan","AFG",1762,,,,,,,
"Afghanistan","AFG",1763,,,,,,,
"Afghanistan","AFG",1764,,,,,,,
"Afghanistan","AFG",1765,,,,,,,
"Afghanistan","AFG",1766,,,,,,,
"Afghanistan","AFG",1767,,,,,,,
"Afghanistan","AFG",1768,,,,,,,
"Afghanistan","AFG",1769,,,,,,,
"Afghanistan","AFG",1770,,,,,,,
"Afghanistan","AFG",1771,,,,,,,
"Afghanistan","AFG",1772,,,,,,,
"Afghanistan","AFG",1773,,,,,,,
"Afghanistan","AFG",1774,,,,,,,
"Afghanistan","AFG",1775,,,,,,,
"Afghanistan","AFG",1776,,,,,,,
"Afghanistan","AFG",1777,,,,,,,
"Afghanistan","AFG",1778,,,,,,,
"Afghanistan","AFG",1779,,,,,,,
"Afghanistan","AFG",1780,,,,,,,
"Afghanistan","AFG",1781,,,,,,,
"Afghanistan","AFG",1782,,,,,,,
"Afghanistan","AFG",1783,,,,,,,
"Afghanistan","AFG",1784,,,,,,,
"Afghanistan","AFG",1785,,,,,,,
"Afghanistan","AFG",1786,,,,,,,
"Afghanistan","AFG",1787,,,,,,,
"Afghanistan","AFG",1788,,,,,,,
"Afghanistan","AFG",1789,,,,,,,
"Afghanistan","AFG",1790,,,,,,,
"Afghanistan","AFG",1791,,,,,,,
"Afghanistan","AFG",1792,,,,,,,
"Afghanistan","AFG",1793,,,,,,,
"Afghanistan","AFG",1794,,,,,,,
"Afghanistan","AFG",1795,,,,,,,
"Afghanistan","AFG",1796,,,,,,,
"Afghanistan","AFG",1797,,,,,,,
"Afghanistan","AFG",1798,,,,,,,
"Afghanistan","AFG",1799,,,,,,,
"Afghanistan","AFG",1800,,,,,,,
"Afghanistan","AFG",1801,,,,,,,
"Afghanistan","AFG",1802,,,,,,,
"Afghanistan","AFG",1803,,,,,,,
"Afghanistan","AFG",1804,,,,,,,
"Afghanistan","AFG",1805,,,,,,,
"Afghanistan","AFG",1806,,,,,,,
"Afghanistan","AFG",1807,,,,,,,
"Afghanistan","AFG",1808,,,,,,,
"Afghanistan","AFG",1809,,,,,,,
"Afghanistan","AFG",1810,,,,,,,
"Afghanistan","AFG",1811,,,,,,,
"Afghanistan","AFG",1812,,,,,,,
"Afghanistan","AFG",1813,,,,,,,
"Afghanistan","AFG",1814,,,,,,,
"Afghanistan","AFG",1815,,,,,,,
"Afghanistan","AFG",1816,,,,,,,
"Afghanistan","AFG",1817,,,,,,,
"Afghanistan","AFG",1818,,,,,,,
"Afghanistan","AFG",1819,,,,,,,
"Afghanistan","AFG",1820,,,,,,,
"Afghanistan","AFG",1821,,,,,,,
"Afghanistan","AFG",1822,,,,,,,
"Afghanistan","AFG",1823,,,,,,,
"Afghanistan","AFG",1824,,,,,,,
"Afghanistan","AFG",1825,,,,,,,
"Afghanistan","AFG",1826,,,,,,,
"Afghanistan","AFG",1827,,,,,,,
"Afghanistan","AFG",1828,,,,,,,
"Afghanistan","AFG",1829,,,,,,,
"Afghanistan","AFG",1830,,,,,,,
"Afghanistan","AFG",1831,,,,,,,
"Afghanistan","AFG",1832,,,,,,,
"Afghanistan","AFG",1833,,,,,,,
"Afghanistan","AFG",1834,,,,,,,
"Afghanistan","AFG",1835,,,,,,,
"Afghanistan","AFG",1836,,,,,,,
"Afghanistan","AFG",1837,,,,,,,
"Afghanistan","AFG",1838,,,,,,,
"Afghanistan","AFG",1839,,,,,,,
"Afghanistan","AFG",1840,,,,,,,
"Afghanistan","AFG",1841,,,,,,,
"Afghanistan","AFG",1842,,,,,,,
