Entity,Year,Disasters
All disasters,1900,6
All disasters excluding earthquakes,1900,5
All disasters excluding extreme temperature,1900,6
Drought,1900,2
Earthquake,1900,1
Extreme weather,1900,1
Flood,1900,1
Volcanic activity,1900,1
All disasters,1901,1
All disasters excluding extreme temperature,1901,1
Earthquake,1901,1
All disasters,1902,10
All disasters excluding earthquakes,1902,6
All disasters excluding extreme temperature,1902,10
Earthquake,1902,4
Extreme weather,1902,1
Volcanic activity,1902,5
All disasters,1903,12
All disasters excluding earthquakes,1903,7
All disasters excluding extreme temperature,1903,12
Drought,1903,1
Dry mass movement,1903,1
Earthquake,1903,5
Extreme weather,1903,2
Flood,1903,2
Volcanic activity,1903,1
All disasters,1904,4
All disasters excluding earthquakes,1904,1
All disasters excluding extreme temperature,1904,4
Earthquake,1904,3
Extreme weather,1904,1
All disasters,1905,7
All disasters excluding earthquakes,1905,2
All disasters excluding extreme temperature,1905,7
Dry mass movement,1905,1
Earthquake,1905,5
Extreme weather,1905,1
All disasters,1906,13
All disasters excluding earthquakes,1906,7
All disasters excluding extreme temperature,1906,13
Drought,1906,1
Earthquake,1906,6
Extreme weather,1906,3
Flood,1906,2
Volcanic activity,1906,1
All disasters,1907,4
All disasters excluding earthquakes,1907,1
All disasters excluding extreme temperature,1907,4
Drought,1907,1
Earthquake,1907,3
All disasters,1908,3
All disasters excluding earthquakes,1908,1
All disasters excluding extreme temperature,1908,3
Dry mass movement,1908,1
Earthquake,1908,2
All disasters,1909,15
All disasters excluding earthquakes,1909,7
All disasters excluding extreme temperature,1909,15
Earthquake,1909,8
Extreme weather,1909,5
Flood,1909,1
Wet mass movement,1909,1
All disasters,1910,16
All disasters excluding earthquakes,1910,12
All disasters excluding extreme temperature,1910,16
Drought,1910,9
Earthquake,1910,4
Extreme weather,1910,1
Flood,1910,1
Wet mass movement,1910,1
All disasters,1911,19
All disasters excluding earthquakes,1911,14
All disasters excluding extreme temperature,1911,19
Drought,1911,9
Earthquake,1911,5
Extreme weather,1911,2
Flood,1911,1
Volcanic activity,1911,1
Wildfire,1911,1
All disasters,1912,15
All disasters excluding earthquakes,1912,14
All disasters excluding extreme temperature,1912,15
Drought,1912,9
Earthquake,1912,1
Extreme weather,1912,5
All disasters,1913,14
All disasters excluding earthquakes,1913,10
All disasters excluding extreme temperature,1913,14
Drought,1913,9
Earthquake,1913,4
Extreme weather,1913,1
All disasters,1914,17
All disasters excluding earthquakes,1914,11
All disasters excluding extreme temperature,1914,17
Drought,1914,9
Earthquake,1914,6
Extreme weather,1914,1
Volcanic activity,1914,1
All disasters,1915,7
All disasters excluding earthquakes,1915,4
All disasters excluding extreme temperature,1915,7
Earthquake,1915,3
Extreme weather,1915,2
Flood,1915,1
Wet mass movement,1915,1
All disasters,1916,3
All disasters excluding earthquakes,1916,1
All disasters excluding extreme temperature,1916,3
Earthquake,1916,2
Extreme weather,1916,1
All disasters,1917,7
All disasters excluding earthquakes,1917,3
All disasters excluding extreme temperature,1917,7
Earthquake,1917,4
Extreme weather,1917,2
Flood,1917,1
All disasters,1918,5
All disasters excluding earthquakes,1918,2
All disasters excluding extreme temperature,1918,5
Earthquake,1918,3
Extreme weather,1918,1
Wildfire,1918,1
All disasters,1919,4
All disasters excluding earthquakes,1919,4
All disasters excluding extreme temperature,1919,4
Drought,1919,1
Extreme weather,1919,2
Volcanic activity,1919,1
All disasters,1920,10
All disasters excluding earthquakes,1920,5
All disasters excluding extreme temperature,1920,10
Drought,1920,3
Earthquake,1920,5
Extreme weather,1920,1
Flood,1920,1
All disasters,1921,2
All disasters excluding earthquakes,1921,2
All disasters excluding extreme temperature,1921,2
Drought,1921,2
All disasters,1922,8
All disasters excluding earthquakes,1922,5
All disasters excluding extreme temperature,1922,8
Drought,1922,1
Earthquake,1922,3
Extreme weather,1922,2
Wet mass movement,1922,1
Wildfire,1922,1
All disasters,1923,14
All disasters excluding earthquakes,1923,8
All disasters excluding extreme temperature,1923,14
Drought,1923,1
Earthquake,1923,6
Extreme weather,1923,6
Wet mass movement,1923,1
All disasters,1924,8
All disasters excluding earthquakes,1924,2
All disasters excluding extreme temperature,1924,8
Earthquake,1924,6
Extreme weather,1924,2
All disasters,1925,12
All disasters excluding earthquakes,1925,4
All disasters excluding extreme temperature,1925,12
Earthquake,1925,8
Extreme weather,1925,3
Flood,1925,1
All disasters,1926,14
All disasters excluding earthquakes,1926,13
All disasters excluding extreme temperature,1926,14
Earthquake,1926,1
Extreme weather,1926,7
Flood,1926,3
Volcanic activity,1926,1
Wet mass movement,1926,2
All disasters,1927,10
All disasters excluding earthquakes,1927,6
All disasters excluding extreme temperature,1927,10
Earthquake,1927,4
Extreme weather,1927,4
Flood,1927,2
All disasters,1928,17
All disasters excluding earthquakes,1928,10
All disasters excluding extreme temperature,1928,17
Drought,1928,1
Earthquake,1928,7
Extreme weather,1928,7
Flood,1928,2
All disasters,1929,5
All disasters excluding earthquakes,1929,3
All disasters excluding extreme temperature,1929,5
Earthquake,1929,2
Extreme weather,1929,2
Wildfire,1929,1
All disasters,1930,21
All disasters excluding earthquakes,1930,6
All disasters excluding extreme temperature,1930,21
Earthquake,1930,15
Extreme weather,1930,4
Volcanic activity,1930,1
Wet mass movement,1930,1
All disasters,1931,14
All disasters excluding earthquakes,1931,8
All disasters excluding extreme temperature,1931,14
Drought,1931,1
Earthquake,1931,6
Extreme weather,1931,4
Flood,1931,1
Volcanic activity,1931,1
Wet mass movement,1931,1
All disasters,1932,13
All disasters excluding earthquakes,1932,7
All disasters excluding extreme temperature,1932,13
Drought,1932,1
Earthquake,1932,6
Extreme weather,1932,5
Wet mass movement,1932,1
All disasters,1933,12
All disasters excluding earthquakes,1933,7
All disasters excluding extreme temperature,1933,12
Drought,1933,2
Earthquake,1933,5
Extreme weather,1933,3
Flood,1933,2
All disasters,1934,10
All disasters excluding earthquakes,1934,7
All disasters excluding extreme temperature,1934,10
Drought,1934,2
Earthquake,1934,3
Extreme weather,1934,4
Wet mass movement,1934,1
All disasters,1935,17
All disasters excluding earthquakes,1935,10
All disasters excluding extreme temperature,1935,17
Drought,1935,2
Earthquake,1935,7
Extreme weather,1935,7
Flood,1935,1
All disasters,1936,22
All disasters excluding earthquakes,1936,11
All disasters excluding extreme temperature,1936,20
Drought,1936,2
Earthquake,1936,11
Extreme temperature,1936,2
Extreme weather,1936,5
Flood,1936,1
Wet mass movement,1936,1
All disasters,1937,12
All disasters excluding earthquakes,1937,9
All disasters excluding extreme temperature,1937,12
Drought,1937,2
Dry mass movement,1937,1
Earthquake,1937,3
Extreme weather,1937,3
Flood,1937,2
Volcanic activity,1937,1
All disasters,1938,8
All disasters excluding earthquakes,1938,6
All disasters excluding extreme temperature,1938,8
Drought,1938,1
Earthquake,1938,2
Extreme weather,1938,2
Flood,1938,2
Wet mass movement,1938,1
All disasters,1939,13
All disasters excluding earthquakes,1939,6
All disasters excluding extreme temperature,1939,13
Drought,1939,1
Earthquake,1939,7
Extreme weather,1939,2
Flood,1939,2
Wildfire,1939,1
All disasters,1940,21
All disasters excluding earthquakes,1940,14
All disasters excluding extreme temperature,1940,21
Drought,1940,10
Earthquake,1940,7
Extreme weather,1940,3
Flood,1940,1
All disasters,1941,22
All disasters excluding earthquakes,1941,14
All disasters excluding extreme temperature,1941,22
Drought,1941,9
Earthquake,1941,8
Extreme weather,1941,4
Wet mass movement,1941,1
All disasters,1942,21
All disasters excluding earthquakes,1942,13
All disasters excluding extreme temperature,1942,21
Drought,1942,10
Earthquake,1942,8
Extreme weather,1942,3
All disasters,1943,25
All disasters excluding earthquakes,1943,16
All disasters excluding extreme temperature,1943,25
Drought,1943,10
Earthquake,1943,9
Extreme weather,1943,3
Flood,1943,2
Volcanic activity,1943,1
All disasters,1944,23
All disasters excluding earthquakes,1944,17
All disasters excluding extreme temperature,1944,23
Drought,1944,9
Earthquake,1944,6
Extreme weather,1944,5
Volcanic activity,1944,1
Wildfire,1944,2
All disasters,1945,16
All disasters excluding earthquakes,1945,8
All disasters excluding extreme temperature,1945,16
Earthquake,1945,8
Extreme weather,1945,7
Volcanic activity,1945,1
All disasters,1946,17
All disasters excluding earthquakes,1946,7
All disasters excluding extreme temperature,1946,17
Drought,1946,1
Earthquake,1946,10
Extreme weather,1946,5
Volcanic activity,1946,1
All disasters,1947,13
All disasters excluding earthquakes,1947,10
All disasters excluding extreme temperature,1947,13
Drought,1947,1
Earthquake,1947,3
Extreme weather,1947,7
Flood,1947,1
Wildfire,1947,1
All disasters,1948,25
All disasters excluding earthquakes,1948,18
All disasters excluding extreme temperature,1948,25
Earthquake,1948,7
Extreme weather,1948,10
Flood,1948,5
Volcanic activity,1948,1
Wet mass movement,1948,2
All disasters,1949,21
All disasters excluding earthquakes,1949,14
All disasters excluding extreme temperature,1949,21
Earthquake,1949,7
Extreme weather,1949,8
Flood,1949,2
Volcanic activity,1949,2
Wet mass movement,1949,1
Wildfire,1949,1
All disasters,1950,26
All disasters excluding earthquakes,1950,19
All disasters excluding extreme temperature,1950,26
Earthquake,1950,7
Extreme weather,1950,7
Flood,1950,10
Volcanic activity,1950,1
Wet mass movement,1950,1
All disasters,1951,31
All disasters excluding earthquakes,1951,24
All disasters excluding extreme temperature,1951,29
Earthquake,1951,7
Extreme temperature,1951,2
Extreme weather,1951,11
Flood,1951,7
Volcanic activity,1951,3
Wet mass movement,1951,1
All disasters,1952,29
All disasters excluding earthquakes,1952,16
All disasters excluding extreme temperature,1952,29
Earthquake,1952,13
Extreme weather,1952,9
Flood,1952,4
Fog,1952,1
Volcanic activity,1952,1
Wet mass movement,1952,1
All disasters,1953,36
All disasters excluding earthquakes,1953,27
All disasters excluding extreme temperature,1953,33
Earthquake,1953,9
Extreme temperature,1953,3
Extreme weather,1953,11
Flood,1953,12
Volcanic activity,1953,1
All disasters,1954,33
All disasters excluding earthquakes,1954,28
All disasters excluding extreme temperature,1954,33
Earthquake,1954,5
Extreme weather,1954,10
Flood,1954,9
Volcanic activity,1954,1
Wet mass movement,1954,8
All disasters,1955,32
All disasters excluding earthquakes,1955,26
All disasters excluding extreme temperature,1955,31
Dry mass movement,1955,1
Earthquake,1955,6
Extreme temperature,1955,1
Extreme weather,1955,19
Flood,1955,3
Wet mass movement,1955,2
All disasters,1956,36
All disasters excluding earthquakes,1956,30
All disasters excluding extreme temperature,1956,36
Earthquake,1956,6
Extreme weather,1956,14
Flood,1956,9
Volcanic activity,1956,1
Wet mass movement,1956,5
Wildfire,1956,1
All disasters,1957,28
All disasters excluding earthquakes,1957,21
All disasters excluding extreme temperature,1957,28
Earthquake,1957,7
Extreme weather,1957,9
Flood,1957,11
Volcanic activity,1957,1
All disasters,1958,24
All disasters excluding earthquakes,1958,19
All disasters excluding extreme temperature,1958,22
Earthquake,1958,5
Extreme temperature,1958,2
Extreme weather,1958,13
Flood,1958,3
Wet mass movement,1958,1
All disasters,1959,33
All disasters excluding earthquakes,1959,30
All disasters excluding extreme temperature,1959,33
Earthquake,1959,3
Extreme weather,1959,16
Flood,1959,13
Wet mass movement,1959,1
All disasters,1960,40
All disasters excluding earthquakes,1960,32
All disasters excluding extreme temperature,1960,40
Drought,1960,1
Earthquake,1960,8
Extreme weather,1960,20
Flood,1960,8
Volcanic activity,1960,1
Wet mass movement,1960,2
All disasters,1961,30
All disasters excluding earthquakes,1961,27
All disasters excluding extreme temperature,1961,29
Drought,1961,1
Earthquake,1961,3
Extreme temperature,1961,1
Extreme weather,1961,14
Flood,1961,9
Wet mass movement,1961,2
All disasters,1962,29
All disasters excluding earthquakes,1962,25
All disasters excluding extreme temperature,1962,28
Dry mass movement,1962,1
Earthquake,1962,4
Extreme temperature,1962,1
Extreme weather,1962,13
Flood,1962,8
Wet mass movement,1962,2
All disasters,1963,41
All disasters excluding earthquakes,1963,38
All disasters excluding extreme temperature,1963,39
Drought,1963,1
Dry mass movement,1963,1
Earthquake,1963,3
Extreme temperature,1963,2
Extreme weather,1963,21
Flood,1963,8
Volcanic activity,1963,3
Wet mass movement,1963,2
All disasters,1964,61
All disasters excluding earthquakes,1964,54
All disasters excluding extreme temperature,1964,61
Drought,1964,8
Earthquake,1964,7
Extreme weather,1964,22
Flood,1964,22
Volcanic activity,1964,1
Wet mass movement,1964,1
All disasters,1965,62
All disasters excluding earthquakes,1965,54
All disasters excluding extreme temperature,1965,61
Drought,1965,7
Earthquake,1965,8
