country,date,manufacturing pmi,services pmi,consumer confidence,interest rates,cpi yoy,core cpi,unemployment rate,gdp yoy,ticker,open,high,low,close
australia,2020-01-01,49.60,50.60,93.40,0.75%,2.20%,1.70%,5.20%,1.20%,audusd,0.7021,0.7031,0.6682,0.6691
australia,2020-02-01,50.20,49.00,95.50,0.75%,2.20%,1.70%,5.10%,1.20%,audusd,0.6690,0.6776,0.6434,0.6509
australia,2020-03-01,49.70,38.50,91.90,0.50%,2.20%,1.70%,5.20%,1.20%,audusd,0.6488,0.6686,0.5507,0.6135
australia,2020-04-01,44.10,19.50,75.60,0.25%,-0.30%,1.20%,6.30%,-6.10%,audusd,0.6133,0.6571,0.5979,0.6510
australia,2020-05-01,44.00,26.90,88.10,0.25%,-0.30%,1.20%,7.00%,-6.10%,audusd,0.6511,0.6684,0.6371,0.6666
australia,2020-06-01,51.20,53.10,93.70,0.25%,-0.30%,1.20%,7.40%,-6.10%,audusd,0.6657,0.7063,0.6646,0.6902
australia,2020-07-01,54.00,58.20,87.90,0.25%,0.70%,1.10%,7.50%,-3.20%,audusd,0.6903,0.7229,0.6877,0.7142
australia,2020-08-01,53.60,49.00,79.50,0.25%,0.70%,1.10%,6.80%,-3.20%,audusd,0.7146,0.7404,0.7075,0.7375
australia,2020-09-01,55.40,50.80,93.90,0.25%,0.70%,1.10%,6.90%,-3.20%,audusd,0.7377,0.7415,0.7006,0.7161
australia,2020-10-01,54.20,53.70,105.00,0.25%,0.90%,1.10%,7.00%,-0.40%,audusd,0.7163,0.7244,0.7002,0.7026
australia,2020-11-01,55.80,55.10,107.70,0.10%,0.90%,1.10%,6.80%,-0.40%,audusd,0.7034,0.7408,0.6991,0.7345
australia,2020-12-01,55.70,57.00,112.00,0.10%,0.90%,1.10%,6.50%,-0.40%,audusd,0.7345,0.7743,0.7340,0.7694
australia,2021-01-01,57.20,55.60,107.00,0.10%,1.10%,1.10%,6.30%,2.00%,audusd,0.7695,0.7821,0.7592,0.7642
australia,2021-02-01,56.90,53.40,109.10,0.10%,1.10%,1.10%,5.80%,2.00%,audusd,0.7640,0.8008,0.7563,0.7705
australia,2021-03-01,56.80,55.50,111.80,0.10%,1.10%,1.10%,5.70%,2.00%,audusd,0.7713,0.7850,0.7563,0.7596
australia,2021-04-01,59.70,58.80,118.80,0.10%,3.80%,1.60%,5.50%,10.60%,audusd,0.7597,0.7818,0.7531,0.7716
australia,2021-05-01,60.40,58.00,113.10,0.10%,3.80%,1.60%,5.10%,10.60%,audusd,0.7717,0.7892,0.7675,0.7734
australia,2021-06-01,58.60,56.80,107.20,0.10%,3.80%,1.60%,5.00%,10.60%,audusd,0.7735,0.7776,0.7476,0.7498
australia,2021-07-01,56.90,44.20,108.90,0.10%,3.00%,2.10%,4.80%,4.60%,audusd,0.7498,0.7600,0.7289,0.7344
