sending_country_code,academic_year,participants_x,code_x,country_name,receiving_country_code,participants_y,code_y,receiving_all,y_position
HR,2014-2015,31,HR,Croatia,HR,17,HR,6367.0,12.0
SI,2014-2015,37,SI,Slovenia,SI,30,SI,6844.0,13.0
MK,2014-2015,39,MK,North Macedonia,MK,138,MK,3032.0,4.0
LU,2018-2019,47,LU,Luxembourg,LU,147,LU,3437.0,3.0
NO,2015-2016,54,NO,Norway,NO,88,NO,2616.0,2.0
SK,2014-2015,65,SK,Slovakia,SK,46,SK,11084.0,20.0
CY,2014-2015,74,CY,Cyprus,CY,66,CY,3897.0,5.0
IS,2015-2016,78,IS,Iceland,IS,72,IS,1975.0,1.0
LU,2019-2020,96,LU,Luxembourg,LU,126,LU,3437.0,3.0
NL,2014-2015,97,NL,Netherlands,NL,1,NL,4260.0,6.0
SE,2014-2015,103,SE,Sweden,SE,80,SE,2135.0,0.0
AT,2014-2015,117,AT,Austria,AT,107,AT,5397.0,9.0
UK,2014-2015,148,UK,Great Britain,UK,184,UK,19521.0,28.0
FI,2015-2016,149,FI,Finland,FI,197,FI,3562.0,8.0
BG,2014-2015,158,BG,Bulgaria,BG,179,BG,7933.0,17.0
IE,2014-2015,167,IE,Ireland,IE,240,IE,4172.0,7.0
CY,2015-2016,211,CY,Cyprus,CY,198,CY,3897.0,5.0
LU,2014-2015,214,LU,Luxembourg,LU,343,LU,3437.0,3.0
RO,2014-2015,236,RO,Romania,RO,227,RO,13487.0,24.0
SE,2018-2019,253,SE,Sweden,SE,215,SE,2135.0,0.0
LT,2014-2015,269,LT,Lithuania,LT,251,LT,9212.0,18.0
IT,2014-2015,303,IT,Italy,IT,261,IT,11545.0,21.0
DK,2014-2015,320,DK,Denmark,DK,300,DK,7737.0,15.0
IS,2017-2018,332,IS,Iceland,IS,332,IS,1975.0,1.0
CZ,2014-2015,339,CZ,Czechia,CZ,320,CZ,13763.0,23.0
NO,2019-2020,349,NO,Norway,NO,333,NO,2616.0,2.0
SE,2015-2016,351,SE,Sweden,SE,335,SE,2135.0,0.0
IE,2015-2016,355,IE,Ireland,IE,364,IE,4172.0,7.0
SE,2017-2018,372,SE,Sweden,SE,341,SE,2135.0,0.0
LU,2017-2018,391,LU,Luxembourg,LU,408,LU,3437.0,3.0
LV,2014-2015,414,LV,Latvia,LV,378,LV,9383.0,19.0
EE,2014-2015,426,EE,Estonia,EE,417,EE,6369.0,11.0
NO,2017-2018,432,NO,Norway,NO,619,NO,2616.0,2.0
IS,2016-2017,440,IS,Iceland,IS,426,IS,1975.0,1.0
PT,2014-2015,445,PT,Portugal,PT,461,PT,7945.0,16.0
NO,2018-2019,465,NO,Norway,NO,444,NO,2616.0,2.0
ES,2014-2015,467,ES,Spain,ES,430,ES,17887.0,26.0
NO,2016-2017,472,NO,Norway,NO,477,NO,2616.0,2.0
IS,2019-2020,480,IS,Iceland,IS,480,IS,1975.0,1.0
SE,2016-2017,482,SE,Sweden,SE,442,SE,2135.0,0.0
MK,2018-2019,501,MK,North Macedonia,MK,476,MK,3032.0,4.0
NL,2018-2019,552,NL,Netherlands,NL,860,NL,4260.0,6.0
MT,2016-2017,560,MT,Malta,MT,591,MT,5044.0,10.0
MK,2019-2020,565,MK,North Macedonia,MK,531,MK,3032.0,4.0
FI,2017-2018,579,FI,Finland,FI,517,FI,3562.0,8.0
EE,2016-2017,596,EE,Estonia,EE,610,EE,6369.0,11.0
IE,2016-2017,600,IE,Ireland,IE,586,IE,4172.0,7.0
MK,2016-2017,606,MK,North Macedonia,MK,579,MK,3032.0,4.0
DK,2019-2020,615,DK,Denmark,DK,599,DK,7737.0,15.0
NO,2014-2015,625,NO,Norway,NO,655,NO,2616.0,2.0
CY,2017-2018,627,CY,Cyprus,CY,668,CY,3897.0,5.0
CY,2018-2019,653,CY,Cyprus,CY,675,CY,3897.0,5.0
MK,2015-2016,659,MK,North Macedonia,MK,603,MK,3032.0,4.0
IS,2018-2019,665,IS,Iceland,IS,665,IS,1975.0,1.0
SI,2017-2018,673,SI,Slovenia,SI,690,SI,6844.0,13.0
