lifexp,country,region,gdpCapita,populationMillions,footprint,biocapacity,ecoReserve,earthsRequired,ratio
76.0,Albania,Other Europe,14889.0,2.9,2.1,1.176752316,-0.894486045,1.37148542,1.7845726508856943
62.0,Angola,Africa,6304.0,35.0,0.9,1.588191242,0.730345635,0.568028656,0.5666823844631175
75.0,Argentina,South America,22117.0,46.0,3.2,5.231663301,2.011044922,2.13255569,0.611660157752954
83.0,Australia,Asia-Pacific,53053.0,26.1,5.8,11.02140059,5.244362496,3.825307442,0.5262489057209742
81.0,Austria,EU-27,55460.0,9.1,5.6,2.8937746,-2.732865942,3.725720621,1.935188732391251
72.0,Belarus,Other Europe,18574.0,9.4,4.6,3.702523221,-0.87572973,3.031523216,1.242395989283655
82.0,Belgium,EU-27,52749.0,11.7,6.7,1.161287077,-5.528361569,4.429599104,5.769460568964896
70.0,Belize,Central America/Caribbean,6122.0,0.4,7.5,3.303245105,-4.227131211,4.986292995,2.270494547512544
72.0,Bhutan,Asia-Pacific,11106.0,0.8,4.7,4.872815927,0.152248438,3.125757813,0.9645346900870118
64.0,Bolivia,South America,8442.0,12.0,2.8,13.2359069,10.46337161,1.835854245,0.21154576117485382
75.0,Bosnia and Herzegovina,Other Europe,14964.0,3.2,4.3,2.173852297,-2.091693634,2.824462006,1.97805527355017
61.0,Botswana,Africa,16519.0,2.4,2.2,2.902419861,0.680635387,1.471170615,0.7579881979039421
73.0,Brazil,South America,14739.0,215.4,2.6,8.177126233,5.625306893,1.689705582,0.317960115316224
75.0,Brunei Darussalam,Asia-Pacific,64198.0,0.4,7.9,2.617611086,-5.291012187,5.236751947,3.018019002995619
72.0,Bulgaria,EU-27,24490.0,6.8,3.6,3.084292312,-0.497837046,2.371932792,1.1672045434842688
70.0,Cambodia,Asia-Pacific,4705.0,17.2,1.3,1.01194657,-0.327504084,0.886926912,1.2846528053353645
60.0,Cameroon,Africa,3767.0,27.9,1.0,1.426698897,0.382675283,0.691307767,0.7009187447349656
83.0,Canada,North America,49516.0,38.4,7.4,14.2410608,6.820419866,4.913630919,0.5196242122637381
54.0,Central African Republic,Africa,944.0,5.0,1.1,6.411713946,5.294840348,0.739545909,0.17156099122080207
53.0,Chad,Africa,1460.0,17.4,1.4,1.442213862,0.067589937,0.910217147,0.970729818155083
79.0,Chile,South America,24433.0,19.3,3.8,3.231436235,-0.610397283,2.543897776,1.175947697448531
73.0,Colombia,South America,15610.0,51.5,2.0,3.587634761,1.610520636,1.309160379,0.5574703483591317
64.0,Congo,Africa,3921.0,5.8,1.1,7.831302282,6.712954164,0.740522273,0.1404619513319407
59.0,"Congo, Democratic Republic of",Africa,1127.0,95.2,0.7,1.846246272,1.160856503,0.453835779,0.379147685016964
77.0,Costa Rica,Central America/Caribbean,20976.0,5.2,2.6,1.615101928,-0.983838933,1.720907437,1.6098055205838377
,Côte d'Ivoire,Africa,,27.7,0.9,1.106372817,0.221608441,0.585853114,0.8134690098771651
76.0,Croatia,Other Europe,31007.0,4.1,3.7,2.5716721,-1.140193191,2.457838376,1.4387526310216612
74.0,Cuba,Central America/Caribbean,,11.3,1.9,1.115083757,-0.801955759,1.269381543,1.7039078796302471
77.0,Czech Republic,EU-27,40707.0,10.7,5.1,2.522005575,-2.561014389,3.365758334,2.022200129355384
81.0,Denmark,EU-27,59333.0,5.8,7.3,4.216546359,-3.069922517,4.824787924,1.7312746922415612
73.0,Dominica,Central America/Caribbean,12412.0,0.1,2.7,1.004335122,-1.682665685,1.779216966,2.6883456934407595
74.0,Ecuador,South America,10847.0,18.1,1.7,1.872750572,0.19446274,1.111290394,0.9077556965765541
61.0,Equatorial Guinea,Africa,16305.0,1.5,1.8,2.669458685,0.841869482,1.210151373,0.6742940095362443
