country_name,mean_rec,receiving_all,mean_send
Sweden,355.8333333333333,2135.0,390.6666666666667
Iceland,395.0,1975.0,399.0
Norway,436.0,2616.0,399.5
Luxembourg,572.8333333333334,3437.0,495.1666666666667
North Macedonia,505.3333333333333,3032.0,516.8333333333334
Cyprus,649.5,3897.0,633.5
Netherlands,710.0,4260.0,659.8333333333334
Ireland,695.3333333333334,4172.0,700.1666666666666
Finland,712.4,3562.0,754.6
Austria,899.5,5397.0,905.1666666666666
Malta,1008.8,5044.0,987.6
Estonia,1061.5,6369.0,1017.6666666666666
Croatia,1061.1666666666667,6367.0,1048.0
Slovenia,1140.6666666666667,6844.0,1122.3333333333333
Belgium,1363.2,6816.0,1183.2
Denmark,1289.5,7737.0,1273.1666666666667
Portugal,1324.1666666666667,7945.0,1341.1666666666667
Bulgaria,1322.1666666666667,7933.0,1382.8333333333333
Lithuania,1535.3333333333333,9212.0,1510.0
Latvia,1563.8333333333333,9383.0,1599.6666666666667
Slovakia,1847.3333333333333,11084.0,1897.3333333333333
Italy,1924.1666666666667,11545.0,1931.0
Turkey,2041.5,12249.0,2059.6666666666665
Czechia,2293.8333333333335,13763.0,2289.3333333333335
Romania,2247.8333333333335,13487.0,2301.5
France,2962.1666666666665,17773.0,2657.0
Spain,2981.1666666666665,17887.0,2902.1666666666665
Hungary,3067.0,15335.0,3131.0
Great Britain,3253.5,19521.0,3287.5
Poland,5073.166666666667,30439.0,5146.0
Germany,5713.0,34278.0,5732.333333333333
