state,salary
District of Columbia,112.268
Washington,86.558
New Hampshire,84.017
New Jersey,83.102
Alaska,82.512
Massachusetts,81.170
Maryland,81.293
Connecticut,81.285
Utah,78.917
Hawaii,78.745
Colorado,77.331
Virginia,75.756
Delaware,75.674
California,74.819
Rhode Island,72.515
Minnesota,72.319
Oregon,70.266
New York,69.135
Idaho,68.781
Illinois,66.950
Pennsylvania,66.923
North Dakota,66.813
Maine,66.369
Arizona,66.340
Wisconsin,66.106
Vermont,65.712
Montana,65.242
Michigan,64.579
Nebraska,63.813
Kansas,64.518
Nevada,64.412
South Dakota,63.862
Florida,62.973
Georgia,62.468
Wyoming,61.866
North Carolina,61.811
Ohio,61.617
Texas,61.460
Iowa,61.283
Indiana,60.351
South Carolina,59.661
Alabama,59.605
Missouri,59.605
Tennessee,59.052
West Virginia,57.979
Kentucky,57.509
New Mexico,56.766
Oklahoma,55.362
Arkansas,54.658
Louisiana,53.821
Mississippi,51.554
