homelon;homelat;homecontinent;n
-178.12;-14.29;Australia;10
-172.1;-13.76;NA;2
-159.72;21.97;NA;6
-159.59;21.91;North America;4
-159.53;22.1;North America;37
-159.5;22.2;North America;11
-159.46;21.89;North America;2
-159.46;22.22;NA;4
-159.41;22.21;North America;4
-159.37;21.98;North America;2769
-159.34;22.09;North America;3
-158.18;21.44;North America;3
-158.17;21.42;North America;5
-158.1;21.58;North America;19
-158.1;21.59;North America;36
-158.07;21.56;North America;11
-158.06;21.34;North America;2
-158.05;21.67;NA;18
-158.03;21.39;North America;20
-158.03;21.68;NA;2
-158.02;21.45;North America;261
-158.01;21.31;NA;4
-158.01;21.39;North America;2
-158;21.44;North America;188
-158;21.7;NA;9
-157.97;21.4;North America;3
-157.93;21.32;NA;4
-157.87;21.32;North America;2
-157.86;21.31;North America;783
-157.85;21.31;North America;2
-157.84;21.29;North America;31
-157.83;21.28;NA;19
-157.82;21.27;NA;4
-157.82;21.3;North America;42
-157.8;21.4;North America;5
-157.74;21.4;North America;28
-157.72;21.35;North America;4
-157.71;21.28;North America;9
-157.71;21.29;North America;3
-157.7;21.29;North America;2
-156.93;20.82;North America;5
-156.68;20.88;NA;22
-156.68;20.93;North America;14
-156.68;20.96;North America;2
-156.5;20.89;North America;5
-156.45;20.76;North America;16
-156.44;20.69;North America;5
-156.44;20.74;North America;2
-156.37;20.9;North America;11
-156.33;20.79;North America;9
-156.33;20.8;North America;1426
-156.33;20.92;North America;901
-156.25;20.71;North America;360
-156;19.64;NA;21
-155.99;19.65;North America;2
-155.92;19.5;North America;4
-155.92;19.52;North America;6
-155.88;19.92;North America;2
-155.83;20.24;North America;2
-155.79;19.94;North America;5
-155.67;19.54;North America;37
-155.67;20.02;North America;10
-155.58;19.9;North America;1102
-155.28;19.41;North America;4
-155.09;19.71;North America;76
-155.04;19.62;North America;34
-154.97;19.58;North America;23
-154.96;19.56;North America;5
-150.11;62.32;North America;2
-149.9;61.22;North America;8
-149.6;-17.62;Australia;141
-149.49;64.2;North America;5
-149.43;-17.65;Australia;195
-149.41;-17.68;Australia;65
-149.07;62.41;North America;44
-140.03;-8.89;NA;5
-135.41;57.06;NA;2
-129.92;51.92;NA;12
-127.65;53.73;North America;57
-125.91;49.15;NA;26
-125.78;49.08;North America;16
-125.55;48.94;NA;17
-125.45;49.65;North America;50
-125.27;50.21;North America;2
-125.02;49.71;North America;2
-124.95;50.12;North America;4
-124.53;49.84;NA;2
-124.51;-8.78;NA;18
-124.39;43.19;North America;3
-124.39;47.95;North America;4
-124.26;40.58;North America;22
-124.16;40.8;North America;10
-124.15;40.6;North America;20
-124.08;40.87;North America;2
-124.02;44.96;North America;7
-123.94;49.17;North America;8
-123.87;40.75;North America;2
-123.83;46.52;North America;6
-123.82;46.98;North America;2
-123.81;39.45;NA;2
-123.75;49.47;North America;2
-123.72;48.38;North America;2
-123.71;48.78;North America;3
-123.69;48.77;North America;4
-123.43;48.12;North America;6
-123.41;58.82;North America;3
-123.37;48.43;North America;40
-123.33;42.42;North America;2
-123.33;47.04;North America;8
-123.28;44.57;North America;4
-123.26;44.56;North America;6
-123.2;45.22;North America;3
-123.17;48.1;North America;3
-123.17;49.33;NA;8
-123.16;49.7;North America;7
-123.14;49.21;North America;7
-123.12;49.28;North America;973
-123.11;49.28;North America;3
-123.1;49.28;North America;12
-123.09;44.05;North America;9
-123.08;49.25;North America;6
-123.07;44.07;North America;2
-123.07;49.32;NA;12
-123.06;49.25;North America;2
-123.04;44.94;North America;6
-122.99;38.58;North America;7
-122.98;49.25;North America;7
-122.97;44.92;North America;12
-122.96;46.71;North America;6
-122.96;48.61;NA;4
-122.96;50.12;North America;13
-122.93;44.94;North America;2
-122.9;47.04;North America;6
-122.9;48.49;North America;2
-122.87;38.61;North America;3
-122.86;38.02;North America;2
-122.86;45.77;North America;2
-122.82;38.4;North America;10
-122.82;38.55;North America;2
-122.81;38.07;North America;2
-122.81;43.91;North America;110
-122.81;50.32;North America;2
-122.8;45.49;North America;2
-122.8;49.1;North America;7
-122.79;49.28;North America;2
-122.78;45.51;North America;2
-122.76;38.08;North America;7
-122.71;38.44;North America;23
-122.7;45.53;North America;4
-122.69;37.91;North America;18
-122.68;45.52;North America;226
-122.67;45.49;North America;2
-122.67;45.63;North America;6
-122.67;48.94;North America;2
-122.66;49.1;North America;2
-122.64;38.23;North America;5
-122.64;45.53;North America;2
-122.64;45.64;North America;4
-122.64;47.54;North America;2
-122.62;45.53;North America;3
-122.61;45.37;North America;2
-122.6;45.59;North America;4
-122.58;45.65;North America;2
-122.55;47.15;North America;12
-122.54;37.91;North America;21
-122.53;37.97;North America;5
-122.53;38.07;North America;2
-122.53;45.45;North America;6
-122.52;37.54;NA;13
-122.52;38.36;North America;4
-122.52;47.62;North America;3
-122.51;37.53;NA;8
-122.51;37.76;North America;26
-122.51;48.72;North America;2
-122.49;37.61;North America;43
-122.49;37.75;North America;15
-122.49;37.8;NA;10
-122.49;37.86;North America;4
-122.48;48.75;North America;10
-122.47;48.79;North America;2
