doc_id,paragraph_id,sentence_id,sentence,token_id,token,lemma,upos,xpos,feats,head_token_id,dep_rel,deps,misc
doc31,1,1,victorian,1,victorian,victorian,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc53,1,1,huge,1,huge,huge,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc57,1,1,cable,1,cable,cable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc65,1,1,jan,1,jan,jan,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc70,1,1,gorgeous,1,gorgeous,gorgeous,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc72,1,1,spacious,1,spacious,spacious,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc83,1,1,fremont,1,fremont,fremont,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc93,1,1,executive,1,executive,executive,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc110,1,1,friendly,1,friendly,friendly,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc146,1,1,upper,1,upper,upper,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc164,1,1,lovely,1,lovely,lovly,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc172,1,1,sunny,1,sunny,sunny,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc174,1,1,beautiful,1,beautiful,beautiful,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc180,1,1,ready,1,ready,ready,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc183,1,1,close,1,close,close,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc186,1,1,attractive,1,attractive,attractive,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc203,1,1,public,1,public,public,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc218,1,1,convenient,1,convenient,convenient,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc220,1,1,special,1,special,special,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc229,1,1,central,1,central,central,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc238,1,1,smediterranean,1,smediterranean,smediterranean,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc242,1,1,encinal,1,encinal,encinal,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc246,1,1,bright,1,bright,bright,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc299,1,1,fantastic,1,fantastic,fantastic,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc302,1,1,cozy,1,cozy,cozy,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc306,1,1,fine,1,fine,fine,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc309,1,1,safe,1,safe,safe,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc316,1,1,clean,1,clean,clean,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc317,1,1,modern,1,modern,modern,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc328,1,1,nice,1,nice,nice,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc335,1,1,amazing,1,amazing,amazing,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc339,1,1,rental,1,rental,rental,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc343,1,1,pure,1,pure,pure,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc356,1,1,san,1,san,san,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc361,1,1,perfect,1,perfect,perfect,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc362,1,1,single,1,single,single,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc367,1,1,sq,1,sq,sq,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc373,1,1,luxurious,1,luxurious,luxurious,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc374,1,1,flat,1,flat,flat,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc376,1,1,gated,1,gated,gate,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc408,1,1,private,1,private,private,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc418,1,1,availble,1,availble,availble,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc421,1,1,classic,1,classic,classic,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc425,1,1,partial,1,partial,partial,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc435,1,1,fabulous,1,fabulous,fabulous,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc509,1,1,comfortable,1,comfortable,comfortable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc538,1,1,hot,1,hot,hot,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc549,1,1,cute,1,cute,cute,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc558,1,1,easy,1,easy,easy,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc566,1,1,2nd,1,2nd,2nd,ADJ,JJ,Degree=Pos|NumType=Ord,0,root,NA,SpacesAfter=\n
doc567,1,1,3rd,1,3rd,3rd,ADJ,JJ,Degree=Pos|NumType=Ord,0,root,NA,SpacesAfter=\n
doc574,1,1,lucky,1,lucky,lucky,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc575,1,1,late,1,late,late,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc586,1,1,direct,1,direct,direct,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc588,1,1,negotiable,1,negotiable,negotiable,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc589,1,1,square,1,square,square,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc600,1,1,rear,1,rear,rear,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc605,1,1,awesome,1,awesome,awesome,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc637,1,1,grand,1,grand,grand,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc665,1,1,spectacular,1,spectacular,spectacular,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc695,1,1,deep,1,deep,deep,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc697,1,1,limited,1,limited,limit,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc704,1,1,sick,1,sick,sick,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
