Country,Total Population,Surface Area (sq. km)
Russia,144444359.0,17098250.0
China,1425671352.0,9600013.0
India,1428627663.0,3287259.0
Kazakhstan,19606634.0,2724902.0
Saudi Arabia,36947025.0,2149690.0
Indonesia,277534123.0,1916862.0
Iran,89172767.0,1745150.0
Mongolia,3447157.0,1564116.0
Pakistan,240485658.0,796100.0
Turkey,85816199.0,785350.0
Myanmar,54577997.0,676590.0
Afghanistan,42239854.0,652860.0
Yemen,34449825.0,527970.0
Thailand,71801279.0,513120.0
Turkmenistan,6516100.0,488100.0
Uzbekistan,35163944.0,448924.0
Iraq,45504560.0,435052.0
Japan,123294513.0,377974.0
Vietnam,98858950.0,331230.0
Malaysia,34308525.0,330345.0
Oman,4644384.0,309500.0
Philippines,117337368.0,300000.0
Lao PDR,,236800.0
Kyrgyz Republic,,199950.0
Syrian Arab Republic,,185180.0
Cambodia,16944826.0,181040.0
Bangladesh,172954319.0,147570.0
Nepal,30896590.0,147180.0
Tajikistan,10143543.0,141380.0
Dem. People's Rep. Korea,,120540.0
Korea,,100370.0
United Arab Emirates,,98647.9
Jordan,11337053.0,89320.0
Azerbaijan,10412652.0,86600.0
Georgia,3728282.0,69700.0
Sri Lanka,21893579.0,65610.0
Bhutan,787425.0,38390.0
Armenia,2777971.0,29740.0
Israel,9174520.0,22070.0
Kuwait,4310108.0,17820.0
Timor-Leste,,14870.0
Qatar,2716391.0,11490.0
Lebanon,5353930.0,10450.0
Brunei,452524.0,5770.0
"Hong Kong SAR, China",,1110.0
Bahrain,1485510.0,780.0
Singapore,6014723.0,719.0
"Macao SAR, China",,32.9
