Time,France,Germany,Italy,Japan,UK,USA,China,Australia,South Korea
Jul-2018,99.52996,101.6096,101.3936,100.5056,101.0871,101.4096,102.815,100.2871,100.325
Aug-2018,99.28714,101.5925,101.4678,100.4691,101.0048,101.4211,102.6702,100.2352,100.0335
Sep-2018,98.96254,101.5823,101.5777,100.3983,100.8156,101.5058,102.7224,100.1233,99.87277
Oct-2018,98.78004,101.5461,101.6096,100.2889,100.6111,101.4877,103.0429,100.1037,99.71576
Nov-2018,98.51037,101.5121,101.5146,100.1653,100.344,101.3767,103.5886,100.168,99.5596
Dec-2018,98.37789,101.4889,101.3559,100.0496,100.0319,101.2035,104.0827,100.1661,99.56239
Jan-2019,98.74528,101.5,101.1906,99.91814,99.73976,100.9962,104.4733,100.0851,99.6889
Feb-2019,99.18748,101.5098,101.0157,99.78843,99.60733,101.0512,104.7418,100.0513,99.87299
Mar-2019,99.51714,101.5097,100.8797,99.65522,99.59708,101.2726,104.746,99.95362,99.99609
Apr-2019,99.73234,101.4499,100.764,99.53617,99.75628,101.4348,104.7228,99.93481,100.0035
May-2019,99.99335,101.3174,100.6395,99.35323,99.99413,101.524,104.6471,99.91769,99.81105
Jun-2019,100.2125,101.1371,100.5288,99.10769,100.0779,101.4288,104.6568,99.85246,99.58332
Jul-2019,100.4058,100.9883,100.5238,98.86723,100.1205,101.1935,104.4926,99.73384,99.37027
Aug-2019,100.502,100.8945,100.4169,98.64779,99.92644,100.8929,104.3253,99.66636,99.29012
Sep-2019,100.5945,100.8942,100.3722,98.48613,99.88215,100.8929,104.4178,99.52564,99.51717
Oct-2019,100.5951,100.9025,100.3928,98.57538,99.98421,101.0988,104.6219,99.36892,99.85155
Nov-2019,100.4751,101.002,100.4453,98.86707,100.2982,101.3715,104.856,99.34703,100.1527
Dec-2019,100.1536,101.0079,100.5993,99.06591,100.6494,101.6026,104.9675,99.28968,100.2452
Jan-2020,99.89577,100.9116,100.5216,98.92554,100.7748,101.601,104.5992,99.18452,99.94789
Feb-2020,99.43717,100.5257,99.93561,98.18964,100.4127,101.1666,103.7482,99.00591,98.92115
Mar-2020,98.51959,99.71572,98.99203,96.8442,99.33212,100.1539,103.0669,98.59139,97.48982
Apr-2020,97.65627,98.92231,98.53496,95.62959,97.77292,99.0524,102.2017,98.16333,96.61909
May-2020,97.76808,98.82715,98.67317,95.39957,97.00836,98.54501,101.5793,98.2861,96.65862
Jun-2020,98.42849,99.2279,99.31709,95.81791,97.14878,98.49448,101.3293,98.46526,97.10249
Jul-2020,98.92161,99.63718,99.72073,96.34377,97.64719,98.51203,101.7053,98.39645,97.54044
Aug-2020,99.08603,99.92845,99.94358,96.7926,97.85812,98.71681,102.2631,98.47211,97.82938
Sep-2020,98.98882,99.98483,99.96719,97.17406,97.67885,99.03383,103.0254,99.16449,98.00088
Oct-2020,98.62181,99.81486,99.68556,97.32701,97.33843,99.18475,103.6565,100.0354,98.54253
Nov-2020,98.33309,99.59301,99.52122,97.26558,97.2403,99.14101,104.0729,100.6442,98.96555
Dec-2020,98.49762,99.44206,99.82731,97.11009,97.65516,99.14413,104.2149,100.9344,99.01945
Jan-2021,98.58031,99.34483,100.1988,97.14849,98.24932,99.1503,104.4003,100.9677,99.19978
Feb-2021,98.80996,99.50829,100.5793,97.5722,99.32748,99.29194,104.5462,101.0907,99.50829
Mar-2021,99.40019,99.82128,100.9962,98.01803,100.6428,99.66364,104.2179,101.3309,99.90312
Apr-2021,100.0969,100.1562,101.6063,98.23557,101.6785,99.91155,103.89,101.5014,100.3055
May-2021,100.9532,100.6954,102.386,98.36885,102.4693,99.85197,103.6668,101.304,100.6703
Jun-2021,101.5763,101.1702,102.9744,98.57092,102.8248,99.63898,103.3756,100.9592,100.8388
Jul-2021,101.5535,101.3101,103.146,98.70264,102.7688,99.16397,102.8905,100.7172,100.6395
Aug-2021,101.277,101.2979,103.0221,98.7742,102.2486,98.58639,102.7585,100.5174,100.4999
Sep-2021,101.1308,101.3007,102.9261,98.86929,101.3853,98.28316,103.0095,100.4585,100.5649
Oct-2021,100.8211,101.1138,102.8142,98.96162,100.67,98.09375,103.1879,100.4268,100.7319
Nov-2021,100.4961,100.7973,102.531,98.9598,100.3381,97.92902,103.3409,100.3842,100.7801
Dec-2021,100.1099,100.5142,102.0822,98.81075,99.85436,97.82616,103.5054,100.285,100.6546
Jan-2022,99.63527,100.2851,101.2505,98.47358,98.82758,97.58774,103.3203,100.1189,100.553
Feb-2022,98.86507,99.7863,100.1248,98.0687,97.29991,97.27576,101.9625,99.89544,100.4805
Mar-2022,97.69202,98.94759,98.75921,97.71128,95.73772,97.03448,98.90173,99.58224,100.4412
Apr-2022,97.07375,98.25697,98.05829,97.55254,94.42256,96.86448,94.92308,99.21344,100.3163
May-2022,96.8076,97.83575,97.70452,97.4656,93.65356,96.44828,92.74225,98.74603,99.91743
Jun-2022,96.62232,97.43147,97.36544,97.26023,93.24961,96.0294,92.10614,98.3142,99.20248
Jul-2022,96.58357,96.95535,97.04749,97.07751,92.92992,95.99727,92.00719,98.01096,98.4938
Aug-2022,96.63852,96.57652,96.98192,97.03569,92.39417,96.27924,92.02299,97.86269,98.26257
Sep-2022,96.51527,96.17092,96.87652,96.88127,91.83645,96.55611,92.0803,97.90376,98.27625
Oct-2022,96.47577,95.91333,96.78085,96.67435,91.57454,96.79916,,97.9819,98.25017
