name,location,length,gain,highpoint,rating,description
Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330.0,3.67,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake."
Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400.0,4.16,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!"
Skookum Flats,Mount Rainier Area -- Chinook Pass - Hwy 410,"7.8 miles, roundtrip",300,2550.0,3.68,Choose between a shorter or longer river walk through old-growth forest to a 250-foot cascading waterfall.
Teneriffe Falls,Snoqualmie Region -- North Bend Area,"5.6 miles, roundtrip",1585,2370.0,3.92,"You'll work up a sweat on this easy to moderate hike to the spectacular Teneriffe Falls. Go in the spring when the tread is snow-free and the waterfall is flowing at full volume. Along the way, you'll be rewarded with views of the surrounding Snoqualmie valley and nearby peaks."
Twin Falls,Snoqualmie Region -- North Bend Area,"2.6 miles, roundtrip",500,1000.0,4.14,"Visit a trio (yes, trio) of waterfalls just off I-90 on this sure-to-please short trail, perfect for families."
Chenuis Falls,Mount Rainier Area -- NW - Carbon River/Mowich,"8.0 miles, roundtrip",500,2200.0,3.14,A long walk (or short mountain bike ride!) leads to a rolling falls that feeds into the rushing Carbon River.
Old Mine Trail,Mount Rainier Area -- NW - Carbon River/Mowich,"3.4 miles, roundtrip",425,2150.0,5.00,"An infrequently-visited trail off the Carbon River Road, the Old Mine Trail follows a short but steep roadbed to a mineshaft. It's a good outing for kids, if they're willing to make the short push up the steep section."
Flaming Geyser State Park,Puget Sound and Islands -- Seattle-Tacoma Area,"4.0 miles, roundtrip",450,425.0,2.68,"The striking name is a holdover from a previous era when prospectors seeking coal seams drilled into a pocket of natural gas and water. The result was worthy of the name. But the ""geyser"" did not last, and the flame, at first several feet high, soon dwindled to a few inches. Today, even that is gone. But visitors can view a small but still actively bubbling geyser, enjoy views of the Green River and a strikingly beautiful forest."
Salmon Ridge Snowshoe,North Cascades -- Mount Baker Area,"5.4 miles, roundtrip",300,2400.0,4.00,"With gentle terrain, easy river access and views of snow-laden peaks, this narrow river valley is an inviting snowshoe destination, especially for beginners."
May Valley Loop,Issaquah Alps -- Squak Mountain,"6.6 miles, roundtrip",1684,2024.0,2.96,"This forested park, a wilderness with glimpses of Issaquah below, has miles of winding trails alongside bubbling creeks and narrow ravines. There are several trail loop options on this 2,024-foot-high mountain. With multi-use trails and a natural area, hikers have plenty to explore in this quiet sanctuary outside of Issaquah."
Terrace Creek Park,Puget Sound and Islands -- Seattle-Tacoma Area,"2.0 miles, roundtrip",80,440.0,5.00,"Hike a green, forested trail for a mile or so along tiny Lyon Creek in Mountlake Terrace. In season, enjoy a variety of wildflowers or, later in the year, some fall colors. Be alert for squirrels and for a variety of birds. As a hike, it's very easy and relaxing. For a more dynamic experience, put on your trail runners and jog the entire way."
