name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,duration_min,type
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,152,Action
Pulp Fiction,1994,R,2h 34min,Crime; Drama; ,14 October 1994 (USA),8.9,1767445,3014,https://www.imdb.com/title/tt0110912/reviews/_ajax?ref_=undefined&paginationKey=,154,Crime
The Godfather,1972,R,2h 55min,Crime; Drama; ,24 March 1972 (USA),9.2,1558661,3886,https://www.imdb.com/title/tt0068646/reviews/_ajax?ref_=undefined&paginationKey=,175,Crime
Se7en,1995,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6,1390231,1460,https://www.imdb.com/title/tt0114369/reviews/_ajax?ref_=undefined&paginationKey=,127,Crime
The Silence of the Lambs,1991,R,1h 58min,Crime; Drama; Thriller; ,14 February 1991 (USA),8.6,1223451,1298,https://www.imdb.com/title/tt0102926/reviews/_ajax?ref_=undefined&paginationKey=,118,Crime
The Departed,2006,R,2h 31min,Crime; Drama; Thriller; ,6 October 2006 (USA),8.5,1150788,2313,https://www.imdb.com/title/tt0407887/reviews/_ajax?ref_=undefined&paginationKey=,151,Crime
The Wolf of Wall Street,2013,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2,1128148,1436,https://www.imdb.com/title/tt0993846/reviews/_ajax?ref_=undefined&paginationKey=,180,Biography
The Green Mile,1999,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6,1101707,1725,https://www.imdb.com/title/tt0120689/reviews/_ajax?ref_=undefined&paginationKey=,189,Crime
The Godfather: Part II,1974,R,3h 22min,Crime; Drama; ,18 December 1974 (USA),9.0,1089268,1007,https://www.imdb.com/title/tt0071562/reviews/_ajax?ref_=undefined&paginationKey=,202,Crime
Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193,https://www.imdb.com/title/tt0110413/reviews/_ajax?ref_=undefined&paginationKey=,110,Action
Goodfellas,1990,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7,982784,1296,https://www.imdb.com/title/tt0099685/reviews/_ajax?ref_=undefined&paginationKey=,146,Biography
Kill Bill: Vol. 1,2003,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1,970439,2272,https://www.imdb.com/title/tt0266697/reviews/_ajax?ref_=undefined&paginationKey=,111,Action
The Usual Suspects,1995,R,1h 46min,Crime; Mystery; Thriller; ,16 August 1995 (USA),8.5,961807,1355,https://www.imdb.com/title/tt0114814/reviews/_ajax?ref_=undefined&paginationKey=,106,Crime
Reservoir Dogs,1992,R,1h 39min,Crime; Drama; Thriller; ,2 September 1992 (France),8.3,889962,1145,https://www.imdb.com/title/tt0105236/reviews/_ajax?ref_=undefined&paginationKey=,99,Crime
No Country for Old Men,2007,R,2h 2min,Crime; Drama; Thriller; ,21 November 2007 (USA),8.1,823136,1824,https://www.imdb.com/title/tt0477348/reviews/_ajax?ref_=undefined&paginationKey=,122,Crime
Joker,2019,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019 (USA),8.5,822351,10279,https://www.imdb.com/title/tt7286456/reviews/_ajax?ref_=undefined&paginationKey=,122,Crime
Catch Me If You Can,2002,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1,790873,828,https://www.imdb.com/title/tt0264464/reviews/_ajax?ref_=undefined&paginationKey=,141,Biography
Snatch,2000,R,1h 42min,Comedy; Crime; ,19 January 2001 (USA),8.3,761662,837,https://www.imdb.com/title/tt0208092/reviews/_ajax?ref_=undefined&paginationKey=,102,Comedy
A Clockwork Orange,1971,R,2h 16min,Crime; Drama; Sci-Fi; ,2 February 1972 (USA),8.3,735080,1553,https://www.imdb.com/title/tt0066921/reviews/_ajax?ref_=undefined&paginationKey=,136,Crime
Sin City,2005,R,2h 4min,Crime; Thriller; ,1 April 2005 (USA),8.0,731417,1777,https://www.imdb.com/title/tt0401792/reviews/_ajax?ref_=undefined&paginationKey=,124,Crime
Scarface,1983,R,2h 50min,Crime; Drama; ,9 December 1983 (USA),8.3,715023,1029,https://www.imdb.com/title/tt0086250/reviews/_ajax?ref_=undefined&paginationKey=,170,Crime
The Big Lebowski,1998,R,1h 57min,Comedy; Crime; Sport; ,6 March 1998 (USA),8.1,705941,1225,https://www.imdb.com/title/tt0118715/reviews/_ajax?ref_=undefined&paginationKey=,117,Comedy
Taxi Driver,1976,R,1h 54min,Crime; Drama; ,9 February 1976 (USA),8.3,696631,1161,https://www.imdb.com/title/tt0075314/reviews/_ajax?ref_=undefined&paginationKey=,114,Crime
City of God,2002,R,2h 10min,Crime; Drama; ,13 February 2004 (USA),8.6,681961,997,https://www.imdb.com/title/tt0317248/reviews/_ajax?ref_=undefined&paginationKey=,130,Crime
The Grand Budapest Hotel,2014,R,1h 39min,Adventure; Comedy; Crime; ,28 March 2014 (USA),8.1,681915,865,https://www.imdb.com/title/tt2278388/reviews/_ajax?ref_=undefined&paginationKey=,99,Adventure
Kill Bill: Vol. 2,2004,R,2h 17min,Action; Crime; Thriller; ,16 April 2004 (USA),8.0,663568,1022,https://www.imdb.com/title/tt0378194/reviews/_ajax?ref_=undefined&paginationKey=,137,Action
Fargo,1996,R,1h 38min,Crime; Drama; Thriller; ,5 April 1996 (USA),8.1,596614,947,https://www.imdb.com/title/tt0116282/reviews/_ajax?ref_=undefined&paginationKey=,98,Crime
Now You See Me,2013,PG-13,1h 55min,Crime; Mystery; Thriller; ,31 May 2013 (USA),7.3,581643,760,https://www.imdb.com/title/tt1670345/reviews/_ajax?ref_=undefined&paginationKey=,115,Crime
Prisoners,2013,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1,575034,901,https://www.imdb.com/title/tt1392214/reviews/_ajax?ref_=undefined&paginationKey=,153,Crime
Heat,1995,R,2h 50min,Crime; Drama; Thriller; ,15 December 1995 (USA),8.2,557728,1074,https://www.imdb.com/title/tt0113277/reviews/_ajax?ref_=undefined&paginationKey=,170,Crime
Drive,2011,R,1h 40min,Crime; Drama; ,16 September 2011 (USA),7.8,554576,1521,https://www.imdb.com/title/tt0780504/reviews/_ajax?ref_=undefined&paginationKey=,100,Crime
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47min,Action; Comedy; Crime; ,28 August 1998 (UK),8.2,521026,582,https://www.imdb.com/title/tt0120735/reviews/_ajax?ref_=undefined&paginationKey=,107,Action
L.A. Confidential,1997,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2,518387,710,https://www.imdb.com/title/tt0119488/reviews/_ajax?ref_=undefined&paginationKey=,138,Crime
Kick-Ass,2010,R,1h 57min,Action; Comedy; Crime; ,16 April 2010 (USA),7.6,515786,844,https://www.imdb.com/title/tt1250777/reviews/_ajax?ref_=undefined&paginationKey=,117,Action
John Wick,2014,R,1h 41min,Action; Crime; Thriller; ,24 October 2014 (USA),7.4,514550,1157,https://www.imdb.com/title/tt2911666/reviews/_ajax?ref_=undefined&paginationKey=,101,Action
Ocean's Eleven,2001,PG-13,1h 56min,Crime; Thriller; ,7 December 2001 (USA),7.7,500919,932,https://www.imdb.com/title/tt0240772/reviews/_ajax?ref_=undefined&paginationKey=,116,Crime
21 Jump Street,2012,R,1h 49min,Action; Comedy; Crime; ,16 March 2012 (USA),7.2,499602,401,https://www.imdb.com/title/tt1232829/reviews/_ajax?ref_=undefined&paginationKey=,109,Action
Minority Report,2002,PG-13,2h 25min,Action; Crime; Mystery; ,21 June 2002 (USA),7.6,495543,1381,https://www.imdb.com/title/tt0181689/reviews/_ajax?ref_=undefined&paginationKey=,145,Action
The Hateful Eight,2015,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8,493749,1430,https://www.imdb.com/title/tt3460252/reviews/_ajax?ref_=undefined&paginationKey=,168,Crime
American Psycho,2000,R,1h 41min,Comedy; Crime; Drama; ,14 April 2000 (USA),7.6,467924,1258,https://www.imdb.com/title/tt0144084/reviews/_ajax?ref_=undefined&paginationKey=,101,Comedy
Casino,1995,R,2h 58min,Crime; Drama; ,22 November 1995 (USA),8.2,448054,623,https://www.imdb.com/title/tt0112641/reviews/_ajax?ref_=undefined&paginationKey=,178,Crime
Nightcrawler,2014,R,1h 57min,Crime; Drama; Thriller; ,31 October 2014 (USA),7.9,443660,758,https://www.imdb.com/title/tt2872718/reviews/_ajax?ref_=undefined&paginationKey=,117,Crime
Mr. & Mrs. Smith,2005,PG-13,2h,Action; Comedy; Crime; ,10 June 2005 (USA),6.5,439781,829,https://www.imdb.com/title/tt0356910/reviews/_ajax?ref_=undefined&paginationKey=,120,Action
American Hustle,2013,R,2h 18min,Crime; Drama; ,20 December 2013 (USA),7.2,438125,817,https://www.imdb.com/title/tt1800241/reviews/_ajax?ref_=undefined&paginationKey=,138,Crime
Zodiac,2007,R,2h 37min,Crime; Drama; Mystery; ,2 March 2007 (USA),7.7,436889,768,https://www.imdb.com/title/tt0443706/reviews/_ajax?ref_=undefined&paginationKey=,157,Crime
Baby Driver,2017,R,1h 53min,Action; Crime; Drama; ,28 June 2017 (USA),7.6,416067,1096,https://www.imdb.com/title/tt3890160/reviews/_ajax?ref_=undefined&paginationKey=,113,Action
Horrible Bosses,2011,R,1h 38min,Comedy; Crime; ,8 July 2011 (USA),6.9,413881,439,https://www.imdb.com/title/tt1499658/reviews/_ajax?ref_=undefined&paginationKey=,98,Comedy
Crash,2004,R,1h 52min,Crime; Drama; Thriller; ,6 May 2005 (USA),7.7,413651,1693,https://www.imdb.com/title/tt0375679/reviews/_ajax?ref_=undefined&paginationKey=,112,Crime
Captain Phillips,2013,PG-13,2h 14min,Biography; Crime; Drama; ,11 October 2013 (USA),7.8,409137,623,https://www.imdb.com/title/tt1535109/reviews/_ajax?ref_=undefined&paginationKey=,134,Biography
Mystic River,2003,R,2h 18min,Crime; Drama; Mystery; ,15 October 2003 (USA),7.9,408998,1036,https://www.imdb.com/title/tt0327056/reviews/_ajax?ref_=undefined&paginationKey=,138,Crime
The Girl with the Dragon Tattoo,2011,R,2h 38min,Crime; Drama; Mystery; ,21 December 2011 (USA),7.8,408988,723,https://www.imdb.com/title/tt1568346/reviews/_ajax?ref_=undefined&paginationKey=,158,Crime
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55min,Comedy; Crime; Drama; ,1 December 2017 (USA),8.2,404402,1169,https://www.imdb.com/title/tt5027774/reviews/_ajax?ref_=undefined&paginationKey=,115,Comedy
Spotlight,2015,R,2h 9min,Biography; Crime; Drama; ,20 November 2015 (USA),8.1,401931,601,https://www.imdb.com/title/tt1895587/reviews/_ajax?ref_=undefined&paginationKey=,129,Biography
Gangs of New York,2002,R,2h 47min,Crime; Drama; ,20 December 2002 (USA),7.5,394333,1216,https://www.imdb.com/title/tt0217505/reviews/_ajax?ref_=undefined&paginationKey=,167,Crime
We're the Millers,2013,R,1h 50min,Comedy; Crime; ,7 August 2013 (USA),7.0,392362,381,https://www.imdb.com/title/tt1723121/reviews/_ajax?ref_=undefined&paginationKey=,110,Comedy
American Gangster,2007,R,2h 37min,Biography; Crime; Drama; ,2 November 2007 (USA),7.8,381835,495,https://www.imdb.com/title/tt0765429/reviews/_ajax?ref_=undefined&paginationKey=,157,Biography
In Bruges,2008,R,1h 47min,Comedy; Crime; Drama; ,29 February 2008 (USA),7.9,381417,628,https://www.imdb.com/title/tt0780536/reviews/_ajax?ref_=undefined&paginationKey=,107,Comedy
Training Day,2001,R,2h 2min,Crime; Drama; Thriller; ,5 October 2001 (USA),7.7,378412,711,https://www.imdb.com/title/tt0139654/reviews/_ajax?ref_=undefined&paginationKey=,122,Crime
Sicario,2015,R,2h 1min,Action; Crime; Drama; ,2 October 2015 (USA),7.6,356962,719,https://www.imdb.com/title/tt3397884/reviews/_ajax?ref_=undefined&paginationKey=,121,Action
Wanted,2008,R,1h 50min,Action; Crime; Fantasy; ,27 June 2008 (USA),6.7,353620,779,https://www.imdb.com/title/tt0493464/reviews/_ajax?ref_=undefined&paginationKey=,110,Action
Collateral,2004,R,2h,Crime; Drama; Thriller; ,6 August 2004 (USA),7.5,350028,890,https://www.imdb.com/title/tt0369339/reviews/_ajax?ref_=undefined&paginationKey=,120,Crime
Ocean's Twelve,2004,PG-13,2h 5min,Crime; Thriller; ,10 December 2004 (USA),6.5,349317,669,https://www.imdb.com/title/tt0349903/reviews/_ajax?ref_=undefined&paginationKey=,125,Crime
The Godfather: Part III,1990,R,2h 42min,Crime; Drama; ,25 December 1990 (USA),7.6,347672,652,https://www.imdb.com/title/tt0099674/reviews/_ajax?ref_=undefined&paginationKey=,162,Crime
John Wick: Chapter 2,2017,R,2h 2min,Action; Crime; Thriller; ,10 February 2017 (USA),7.5,347579,860,https://www.imdb.com/title/tt4425200/reviews/_ajax?ref_=undefined&paginationKey=,122,Action
Fast Five,2011,PG-13,2h 10min,Action; Adventure; Crime; ,29 April 2011 (USA),7.3,345450,424,https://www.imdb.com/title/tt1596343/reviews/_ajax?ref_=undefined&paginationKey=,130,Action
Face_Off,1997,R,2h 18min,Action; Crime; Sci-Fi; ,27 June 1997 (USA),7.3,341451,609,https://www.imdb.com/title/tt0119094/reviews/_ajax?ref_=undefined&paginationKey=,138,Action
Knives Out,2019,PG-13,2h 10min,Comedy; Crime; Drama; ,27 November 2019 (USA),7.9,341415,2172,https://www.imdb.com/title/tt8946378/reviews/_ajax?ref_=undefined&paginationKey=,130,Comedy
The Town,2010,R,2h 5min,Crime; Drama; Thriller; ,17 September 2010 (USA),7.5,341073,498,https://www.imdb.com/title/tt0840361/reviews/_ajax?ref_=undefined&paginationKey=,125,Crime
The Fast and the Furious,2001,PG-13,1h 46min,Action; Crime; Thriller; ,22 June 2001 (USA),6.8,338840,1059,https://www.imdb.com/title/tt0232500/reviews/_ajax?ref_=undefined&paginationKey=,106,Action
22 Jump Street,2014,R,1h 52min,Action; Comedy; Crime; ,13 June 2014 (USA),7.0,337234,355,https://www.imdb.com/title/tt2294449/reviews/_ajax?ref_=undefined&paginationKey=,112,Action
The Italian Job,2003,PG-13,1h 51min,Action; Crime; Thriller; ,30 May 2003 (USA),7.0,335566,519,https://www.imdb.com/title/tt0317740/reviews/_ajax?ref_=undefined&paginationKey=,111,Action
The Mask,1994,PG-13,1h 41min,Action; Comedy; Crime; ,29 July 1994 (USA),6.9,335452,277,https://www.imdb.com/title/tt0110475/reviews/_ajax?ref_=undefined&paginationKey=,101,Action
Inside Man,2006,R,2h 9min,Crime; Drama; Mystery; ,24 March 2006 (USA),7.6,329265,718,https://www.imdb.com/title/tt0454848/reviews/_ajax?ref_=undefined&paginationKey=,129,Crime
The Equalizer,2014,R,2h 12min,Action; Crime; Thriller; ,26 September 2014 (USA),7.2,322279,613,https://www.imdb.com/title/tt0455944/reviews/_ajax?ref_=undefined&paginationKey=,132,Action
Man on Fire,2004,R,2h 26min,Action; Crime; Drama; ,23 April 2004 (USA),7.7,322039,762,https://www.imdb.com/title/tt0328107/reviews/_ajax?ref_=undefined&paginationKey=,146,Action
Ocean's Thirteen,2007,PG-13,2h 2min,Action; Crime; Thriller; ,8 June 2007 (USA),6.9,312811,316,https://www.imdb.com/title/tt0496806/reviews/_ajax?ref_=undefined&paginationKey=,122,Action
Pineapple Express,2008,R,1h 51min,Action; Comedy; Crime; ,6 August 2008 (USA),6.9,308854,425,https://www.imdb.com/title/tt0910936/reviews/_ajax?ref_=undefined&paginationKey=,111,Action
Jackie Brown,1997,R,2h 34min,Crime; Drama; Thriller; ,25 December 1997 (USA),7.5,306877,536,https://www.imdb.com/title/tt0119396/reviews/_ajax?ref_=undefined&paginationKey=,154,Crime
Burn After Reading,2008,R,1h 36min,Comedy; Crime; Drama; ,12 September 2008 (USA),7.0,301462,622,https://www.imdb.com/title/tt0887883/reviews/_ajax?ref_=undefined&paginationKey=,96,Comedy
Once Upon a Time in America,1984,R,3h 49min,Crime; Drama; ,1 June 1984 (USA),8.4,299388,676,https://www.imdb.com/title/tt0087843/reviews/_ajax?ref_=undefined&paginationKey=,229,Crime
The Irishman,2019,R,3h 29min,Biography; Crime; Drama; ,27 November 2019 (USA),7.9,297140,2676,https://www.imdb.com/title/tt1302006/reviews/_ajax?ref_=undefined&paginationKey=,209,Biography
Lucky Number Slevin,2006,R,1h 50min,Crime; Drama; Mystery; ,7 April 2006 (USA),7.7,295883,548,https://www.imdb.com/title/tt0425210/reviews/_ajax?ref_=undefined&paginationKey=,110,Crime
Home Alone 2: Lost in New York,1992,PG,2h,Adventure; Comedy; Crime; ,20 November 1992 (USA),6.8,289368,261,https://www.imdb.com/title/tt0104431/reviews/_ajax?ref_=undefined&paginationKey=,120,Adventure
Lord of War,2005,R,2h 2min,Action; Crime; Drama; ,16 September 2005 (USA),7.6,288544,482,https://www.imdb.com/title/tt0399295/reviews/_ajax?ref_=undefined&paginationKey=,122,Action
Deja Vu,2006,PG-13,2h 6min,Action; Crime; Sci-Fi; ,22 November 2006 (USA),7.0,287330,458,https://www.imdb.com/title/tt0453467/reviews/_ajax?ref_=undefined&paginationKey=,126,Action
To Kill a Mockingbird,1962,Approved,2h 9min,Crime; Drama; ,16 March 1963 (USA),8.2,287100,567,https://www.imdb.com/title/tt0056592/reviews/_ajax?ref_=undefined&paginationKey=,129,Crime
The Hangover Part III,2013,R,1h 40min,Comedy; Crime; ,23 May 2013 (USA),5.8,286488,318,https://www.imdb.com/title/tt1951261/reviews/_ajax?ref_=undefined&paginationKey=,100,Comedy
RED,2010,PG-13,1h 51min,Action; Comedy; Crime; ,15 October 2010 (USA),7.0,282437,362,https://www.imdb.com/title/tt1245526/reviews/_ajax?ref_=undefined&paginationKey=,111,Action
3:10 to Yuma,2007,R,2h 2min,Action; Crime; Drama; ,7 September 2007 (USA),7.7,281948,625,https://www.imdb.com/title/tt0381849/reviews/_ajax?ref_=undefined&paginationKey=,122,Action
The Transporter,2002,PG-13,1h 32min,Action; Crime; Thriller; ,11 October 2002 (USA),6.8,279981,473,https://www.imdb.com/title/tt0293662/reviews/_ajax?ref_=undefined&paginationKey=,92,Action
From Dusk Till Dawn,1996,R,1h 48min,Action; Crime; Horror; ,19 January 1996 (USA),7.2,279303,664,https://www.imdb.com/title/tt0116367/reviews/_ajax?ref_=undefined&paginationKey=,108,Action
"O Brother, Where Art Thou?",2000,PG-13,1h 47min,Adventure; Comedy; Crime; ,2 February 2001 (USA),7.7,277150,905,https://www.imdb.com/title/tt0190590/reviews/_ajax?ref_=undefined&paginationKey=,107,Adventure
Public Enemies,2009,R,2h 20min,Biography; Crime; Drama; ,1 July 2009 (USA),7.0,275842,639,https://www.imdb.com/title/tt1152836/reviews/_ajax?ref_=undefined&paginationKey=,140,Biography
The Untouchables,1987,R,1h 59min,Crime; Drama; Thriller; ,3 June 1987 (USA),7.9,270871,496,https://www.imdb.com/title/tt0094226/reviews/_ajax?ref_=undefined&paginationKey=,119,Crime
Con Air,1997,R,1h 55min,Action; Crime; Thriller; ,6 June 1997 (USA),6.9,269643,398,https://www.imdb.com/title/tt0118880/reviews/_ajax?ref_=undefined&paginationKey=,115,Action
Donnie Brasco,1997,R,2h 7min,Biography; Crime; Drama; ,28 February 1997 (USA),7.7,269135,283,https://www.imdb.com/title/tt0119008/reviews/_ajax?ref_=undefined&paginationKey=,127,Biography
Batman Returns,1992,PG-13,2h 6min,Action; Crime; Fantasy; ,19 June 1992 (USA),7.0,267156,679,https://www.imdb.com/title/tt0103776/reviews/_ajax?ref_=undefined&paginationKey=,126,Action
The Nice Guys,2016,R,1h 56min,Action; Comedy; Crime; ,20 May 2016 (USA),7.4,266631,450,https://www.imdb.com/title/tt3799694/reviews/_ajax?ref_=undefined&paginationKey=,116,Action
Law Abiding Citizen,2009,R,1h 49min,Action; Crime; Drama; ,16 October 2009 (USA),7.4,265136,548,https://www.imdb.com/title/tt1197624/reviews/_ajax?ref_=undefined&paginationKey=,109,Action
The Shining,1980,R,2h 26min,Drama; Horror; ,13 June 1980 (USA),8.4,860290,1805,https://www.imdb.com/title/tt0081505/reviews/_ajax?ref_=undefined&paginationKey=,146,Drama
Alien,1979,R,1h 57min,Horror; Sci-Fi; ,22 June 1979 (USA),8.4,762793,1423,https://www.imdb.com/title/tt0078748/reviews/_ajax?ref_=undefined&paginationKey=,117,Horror
World War Z,2013,PG-13,1h 56min,Action; Adventure; Horror; ,21 June 2013 (USA),7.0,586801,1125,https://www.imdb.com/title/tt0816711/reviews/_ajax?ref_=undefined&paginationKey=,116,Action
