,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,0.035979731053706755,0.046109052198405366,0.04768405230040402,0.05728920168458029,0.03338273669800729,0.042591406870060654,0.052570485145550586,0.06554680600929737,0.03223795920797174,0.08048151859273217,0.04918986203444195,0.09783773653949734,0.03453702302066065,0.08042792177902705,0.0732926549630198,0.10510462683952035,0.08135066923519019,0.044039457314372525,0.07124896165671675,0.10506336712925264,0.10500705304905837,0.09445759686922345,0.06485187050303969,0.14487659911364292,0.07949261421238696,0.11829764889645904
B,0.020837494094550244,0.04444665741617033,0.031271526512839,0.06292427281629584,0.04193864861897699,0.04159032204943253,0.09505893399328913,0.07550802912931501,0.0664813681455242,0.038674340072687885,0.023328560456402987,0.11552870972209482,0.022239639069441767,0.028134932218183372,0.08473367326578812,0.06539671369855246,0.16432635158805203,0.08372359721477426,0.12173871708675091,0.08110283896379927,0.037160982946152166,0.08468493384942087,0.1711480314052127,0.07892493875327551,0.17258648960034104,0.12062871943246192
C,0.02012168366530726,0.02588452391270318,0.03140200530902456,0.03340688869291154,0.08601972381817195,0.046814460066555985,0.09149455732818892,0.042012048196461274,0.007804315043306898,0.06551028041331941,0.010798834059446946,0.0029142171298005264,0.127373163650393,0.17031763033743155,0.023152615743473465,0.11692317258939197,0.017674950265960554,0.04137571459675313,0.10191008001180352,0.07639394618259801,0.1166264504934807,0.1960490589037474,0.04838633639089811,0.09700729777516276,0.20929550998639634,0.21619442028604652
D,0.029917918849884345,0.011780025847131101,0.022730129057962987,0.04387510091631594,0.021028728127796294,0.07785870556165596,0.04377956523050887,0.04638425137875129,0.016030215194143774,0.028320846081877366,0.058958068412822424,0.019888460627814797,0.08359957964117326,0.11020916994218069,0.12997252902704054,0.12879333871763807,0.0176836940679404,0.09312114662335472,0.018881672663516483,0.0520201634897898,0.0700500303266438,0.049998603878766056,0.21864278426284245,0.015305662537261282,0.0493123685208313,0.08124524540648467
E,0.007199913503950646,0.05177812440473734,0.04623855216755514,0.014577509081197391,0.04096781567208247,0.04004137222988665,0.018923243852742824,0.008850011169905051,0.04114623178504922,0.048518478143171215,0.026060915860469644,0.016895483996832238,0.07365755757503031,0.04919143719321223,0.014025622944538976,0.06275511943902254,0.03763921644751136,0.07796409068254448,0.06422974765623601,0.1050515049622292,0.1115245930513942,0.0547108204745635,0.019463721072474932,0.053262558438669186,0.026774157734177326,0.26056398426903005
F,0.03554403594398391,0.01143742825091481,0.06616491954109979,0.02848559489213289,0.0598860520950288,0.060041468248599746,0.021411496032821744,0.002900158288211418,0.043857615283943496,0.05181268650872681,0.024673293816522134,0.029766198362280567,0.014528660320422406,0.04532613912053125,0.08385984566535114,0.08011965669765551,0.2162540922779745,0.12241819218275313,0.055011759459447473,0.08164552430118496,0.14415280349984527,0.04328250364277959,0.16580165525422727,0.2469174245625469,0.025610375536404804,0.16221433369798455
G,0.035962084501770124,0.004267237177252093,0.020108140309078558,0.03586981939756001,0.032178325283367386,0.05315211975057266,0.06515421784267342,0.09699269529243329,0.025419106726950552,0.042708777862100644,0.03634442085183821,0.08923202184384221,0.030202400447239645,0.03149134815179799,0.15906851115370169,0.04097759326748668,0.03803728806574643,0.11419798039455663,0.05630833647571236,0.10469328603197732,0.2128625103815977,0.07633997756190027,0.26412192690960135,0.010896009746207304,0.054917673598135625,0.0490168934063084
H,0.04381051822927514,0.05113503551067846,0.0189283549541956,0.025471692643677317,0.0746801456226526,0.03016068368263156,0.10377039713089699,0.04827035926771771,0.07979093184882663,0.10463406556821464,0.08148715583586916,0.03822503264690505,0.051637779076872,0.00812784535239313,0.04678028129860381,0.10459741414092825,0.04413173320175766,0.03852357603900866,0.09357457757668229,0.05187116477343866,0.08890720263751546,0.10811190800562016,0.10644369109268308,0.10022627650483168,0.04265942962666756,0.055574118362394787
I,0.04871347195012752,0.03367783765593576,0.01654598345871614,0.051265865859111755,0.09351340255947826,0.08757332316393979,0.048540478190621586,0.10327178065016886,0.03929731156317355,0.08715429022459267,0.04709370449077663,0.022472077655069336,0.047746319934308314,0.029747341756464568,0.05659071908409934,0.01915218880108623,0.05393539519541228,0.0915274147824465,0.05607588406452567,0.09478256220710626,0.030739174561324148,0.24744332109645498,0.08519395942286175,0.0550119972296632,0.11936852051241464,0.2036649154514396
J,0.037930036466253744,0.03192378331283399,0.032253508421937464,0.02107195193764881,0.09289910997745973,0.05190596756199571,0.010526139521098408,0.01536687833252923,0.06034542978393122,0.09639388486307411,0.05434004869983703,0.019354344714034324,0.13752749692220737,0.12614423841382927,0.008890799996841189,0.09287450964502333,0.24793415025404003,0.10886855676846682,0.12968794312103837,0.05611309984961936,0.029006724299260427,0.05535633645184191,0.05614058797267969,0.011035013247682898,0.24059566050993014,0.0322806187023439
