country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384
Albania,2007,3600523.0,Europe,76.423,5937.029526
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Angola,2007,12420476.0,Africa,42.731,4797.231267
Argentina,2007,40301927.0,Americas,75.32,12779.37964
Australia,2007,20434176.0,Oceania,81.235,34435.36744
Austria,2007,8199783.0,Europe,79.829,36126.4927
Bahrain,2007,708573.0,Asia,75.635,29796.04834
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Benin,2007,8078314.0,Africa,56.728,1441.284873
Bolivia,2007,9119152.0,Americas,65.554,3822.137084
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
Botswana,2007,1639131.0,Africa,50.728,12569.85177
Brazil,2007,190010647.0,Americas,72.39,9065.800825
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994
Burundi,2007,8390505.0,Africa,49.58,430.0706916
Cambodia,2007,14131858.0,Asia,59.723,1713.778686
Cameroon,2007,17696293.0,Africa,50.43,2042.09524
Canada,2007,33390141.0,Americas,80.653,36319.23501
Central African Republic,2007,4369038.0,Africa,44.741,706.016537
Chad,2007,10238807.0,Africa,50.651,1704.063724
Chile,2007,16284741.0,Americas,78.553,13171.63885
China,2007,1318683096.0,Asia,72.961,4959.114854
Colombia,2007,44227550.0,Americas,72.889,7006.580419
Comoros,2007,710960.0,Africa,65.152,986.1478792
"Congo, Dem. Rep.",2007,64606759.0,Africa,46.462,277.5518587
"Congo, Rep.",2007,3800610.0,Africa,55.322,3632.557798
Costa Rica,2007,4133884.0,Americas,78.782,9645.06142
Cote d'Ivoire,2007,18013409.0,Africa,48.328,1544.750112
Croatia,2007,4493312.0,Europe,75.748,14619.22272
Cuba,2007,11416987.0,Americas,78.273,8948.102923
Czech Republic,2007,10228744.0,Europe,76.486,22833.30851
Denmark,2007,5468120.0,Europe,78.332,35278.41874
Djibouti,2007,496374.0,Africa,54.791,2082.481567
Dominican Republic,2007,9319622.0,Americas,72.235,6025.374752
Ecuador,2007,13755680.0,Americas,74.994,6873.262326
Egypt,2007,80264543.0,Africa,71.338,5581.180998
El Salvador,2007,6939688.0,Americas,71.878,5728.353514
Equatorial Guinea,2007,551201.0,Africa,51.579,12154.08975
Eritrea,2007,4906585.0,Africa,58.04,641.3695236
Ethiopia,2007,76511887.0,Africa,52.947,690.8055759
Finland,2007,5238460.0,Europe,79.313,33207.0844
France,2007,61083916.0,Europe,80.657,30470.0167
Gabon,2007,1454867.0,Africa,56.735,13206.48452
