state_code,state_name,tsi_course_availability,directory_reviewed_date
AK,Alaska,course options available,2026-07-20
AL,Alabama,course options available,2026-07-20
AR,Arkansas,course options available,2026-07-20
AZ,Arizona,course options available,2026-07-20
CA,California,course options available,2026-07-20
CO,Colorado,not currently offered,2026-07-20
CT,Connecticut,course options available,2026-07-20
DE,Delaware,course options available,2026-07-20
FL,Florida,course options available,2026-07-20
GA,Georgia,course options available,2026-07-20
HI,Hawaii,course options available,2026-07-20
IA,Iowa,course options available,2026-07-20
ID,Idaho,course options available,2026-07-20
IL,Illinois,course options available,2026-07-20
IN,Indiana,course options available,2026-07-20
KS,Kansas,course options available,2026-07-20
KY,Kentucky,not currently offered,2026-07-20
LA,Louisiana,course options available,2026-07-20
MA,Massachusetts,course options available,2026-07-20
MD,Maryland,course options available,2026-07-20
ME,Maine,course options available,2026-07-20
MI,Michigan,course options available,2026-07-20
MN,Minnesota,not currently offered,2026-07-20
MO,Missouri,course options available,2026-07-20
MS,Mississippi,course options available,2026-07-20
MT,Montana,course options available,2026-07-20
NC,North Carolina,course options available,2026-07-20
ND,North Dakota,course options available,2026-07-20
NE,Nebraska,course options available,2026-07-20
NH,New Hampshire,course options available,2026-07-20
NJ,New Jersey,not currently offered,2026-07-20
NM,New Mexico,course options available,2026-07-20
NV,Nevada,course options available,2026-07-20
NY,New York,not currently offered,2026-07-20
OH,Ohio,course options available,2026-07-20
OK,Oklahoma,course options available,2026-07-20
OR,Oregon,not currently offered,2026-07-20
PA,Pennsylvania,course options available,2026-07-20
RI,Rhode Island,course options available,2026-07-20
SC,South Carolina,course options available,2026-07-20
SD,South Dakota,course options available,2026-07-20
TN,Tennessee,course options available,2026-07-20
TX,Texas,course options available,2026-07-20
UT,Utah,course options available,2026-07-20
VA,Virginia,course options available,2026-07-20
VT,Vermont,course options available,2026-07-20
WA,Washington,course options available,2026-07-20
WI,Wisconsin,course options available,2026-07-20
WV,West Virginia,course options available,2026-07-20
WY,Wyoming,course options available,2026-07-20
